uuid,model,text,kbli_code,votes_correct,majority_vote,unanimous,confidence_mean,confidence_std,individual_votes,individual_confidences
39b18c08-eed8-4865-67ca-37c649c901f0,gemini-2.5-flash-lite,jagal sapi menghasilkan potong sapi di bidang jagal sapi,10110,3,True,True,1.0,0.0,"[True, True, True]","[1.0, 1.0, 1.0]"
edeb5038-7a66-490b-290c-caecba670930,gemini-2.5-flash-lite,bagian produksi membersihkan jeroan ayam menghasilkan pemotongan ayam di bidang pabrik ayam potong,10120,3,True,True,1.0,0.0,"[True, True, True]","[1.0, 1.0, 1.0]"
085ce023-fc2e-4a1f-8ea7-94d85c801cf7,gemini-2.5-flash-lite,menyembelih dan membersihkan ayam menghasilkan ayam di bidang jasa penyembelihan ayam,10120,3,True,True,1.0,0.0,"[True, True, True]","[1.0, 1.0, 1.0]"
f9588c15-99df-4dc1-9d32-578f315dc10d,gemini-2.5-flash-lite,menggiling daging pembuatan sosis di pabrik pbs menghasilkan sosis di bidang industri pengolahan pabrik sosis pbs,10130,3,True,True,1.0,0.0,"[True, True, True]","[1.0, 1.0, 1.0]"
c08013c9-921b-4635-951d-0ea628eda743,gemini-2.5-flash-lite,memotong daging ayam untuk di giling dan diolah menjadi pentol menghasilkan penggilingan pentol sapi dan ayam di bidang perdagangan,10130,0,False,True,0.9,0.0,"[False, False, False]","[0.9, 0.9, 0.9]"
430ab469-89cf-4ee8-943e-75590e6ff069,gemini-2.5-flash-lite,"mengolah tepung,bumbu dan daging menjadi bakso menghasilkan bakso daging di bidang pengolahan",10130,3,True,True,1.0,0.0,"[True, True, True]","[1.0, 1.0, 1.0]"
ccf931f3-183c-4839-a69c-8f69dedb28cb,gemini-2.5-flash-lite,"usaha jual beli ikan kering dan ikan asin, ikan nya di jemur sendiri, ikan nya beli sama orang, lalu di jual dengan orang, kadang langsung di ambil sama orang menghasilkan ikan asin dan ikan kering tawar di bidang jual beli ikan asin dan ikan tawar kering",10211,0,False,True,0.9,0.0,"[False, False, False]","[0.9, 0.9, 0.9]"
c9e5c9b1-d6e4-45e3-bfc9-cade5f065e60,gemini-2.5-flash-lite,mengolah kulit ikan tenggiri asin menghasilkan kulit ikan asin tenggiri di bidang pengolahan kulit ikan asin,10211,3,True,True,1.0,0.0,"[True, True, True]","[1.0, 1.0, 1.0]"
9565b02a-26ef-44b1-f237-316ec0f8b7ff,gemini-2.5-flash-lite,menjual ikan asin menghasilkan ikan asin/ikan bage di bidang penjualan eceran ikan asin yang diolah sendiri,10211,0,False,True,0.9,0.0,"[False, False, False]","[0.9, 0.9, 0.9]"
d6397ace-033a-4d9b-0775-7b0adce6181b,gemini-2.5-flash-lite,membantu usaha ibu untuk mengangkat ikan yang sudah kering di sore hari dan di hari libur sekolah menghasilkan ikan tawar kering dan ikan asin di bidang usaha jual ikan asin dan kering,10211,3,True,True,0.9,0.0,"[True, True, True]","[0.9, 0.9, 0.9]"
65f1fc10-2393-4836-8962-f536ffb3f73f,gemini-2.5-flash-lite,mengolah ikan hasil tangkapan anak nya di laut untuk di buat ikan asin menghasilkan ikan asin di bidang pengolahan ikan asin,10211,3,True,True,0.9333333333333332,0.04714045207910316,"[True, True, True]","[1.0, 0.9, 0.9]"
