uuid,text,kbli_code,run_id,model,timestamp,is_correct,confidence_score,reasoning,alternative_codes,alternative_reasoning,api_metadata,source_file,text_length,length_bin
39b18c08-eed8-4865-67ca-37c649c901f0,jagal sapi menghasilkan potong sapi di bidang jagal sapi,10110,1,gemini-2.5-flash-lite,2025-07-30 11:06:13.468093,True,1.0,"Analisis ini didasarkan pada Aturan Validasi Inti #1 dan #3. Deskripsi pekerjaan ""jagal sapi menghasilkan potong sapi di bidang jagal sapi"" secara langsung menggambarkan aktivitas utama dari sebuah rumah potong hewan. Kode KBLI 10110 mencakup ""Kegiatan Rumah Potong Dan Pengepakan Daging Bukan Unggas"", yang secara eksplisit disebutkan dalam deskripsi pekerjaan sebagai ""jagal sapi menghasilkan potong sapi"". Deskripsi tersebut tidak menyebutkan aktivitas lain yang lebih dominan atau aktivitas pendukung. Oleh karena itu, KBLI 10110 sangat sesuai dengan deskripsi pekerjaan yang diberikan.",[],,"{'model': 'gemini-2.5-flash-lite', 'temperature': 0.7, 'attempt': 1, 'response_time': 1.5962936878204346, 'timestamp': '2025-07-30T11:06:13.467293', 'usage': {'prompt_tokens': 1501, 'completion_tokens': 188, 'total_tokens': 1689}}",mini_test_with_ids_gemini-2_5-flash-lite.jsonl,56,"(49.772, 95.6]"
39b18c08-eed8-4865-67ca-37c649c901f0,jagal sapi menghasilkan potong sapi di bidang jagal sapi,10110,2,gemini-2.5-flash-lite,2025-07-30 11:06:14.669260,True,1.0,"Analisis ini didasarkan pada Aturan Validasi Inti #1 dan #3. Deskripsi pekerjaan adalah ""jagal sapi menghasilkan potong sapi di bidang jagal sapi"". Kode KBLI yang diberikan adalah 10110, yang memiliki deskripsi ""Kegiatan Rumah Potong Dan Pengepakan Daging Bukan Unggas"". Deskripsi pekerjaan secara langsung menggambarkan aktivitas utama dari sebuah rumah potong hewan, yaitu kegiatan penjagalan sapi dan menghasilkan potongan sapi. Ini sangat sesuai dengan deskripsi KBLI 10110 yang mencakup kegiatan operasional rumah potong hewan yang berkaitan dengan pemotongan, pengulitan, pembersihan dan pengepakan daging sapi. Tidak ada indikasi aktivitas pendukung atau aktivitas utama lain yang berbeda.",[],,"{'model': 'gemini-2.5-flash-lite', 'temperature': 0.7, 'attempt': 1, 'response_time': 1.196113109588623, 'timestamp': '2025-07-30T11:06:14.668918', 'usage': {'prompt_tokens': 1501, 'completion_tokens': 209, 'total_tokens': 1710}}",mini_test_with_ids_gemini-2_5-flash-lite.jsonl,56,"(49.772, 95.6]"
39b18c08-eed8-4865-67ca-37c649c901f0,jagal sapi menghasilkan potong sapi di bidang jagal sapi,10110,3,gemini-2.5-flash-lite,2025-07-30 11:06:15.628249,True,1.0,"Analisis ini didasarkan pada Aturan Validasi Inti #1 dan #3. Deskripsi pekerjaan 'jagal sapi menghasilkan potong sapi di bidang jagal sapi' secara langsung menjelaskan aktivitas utama dari sebuah rumah potong hewan. Kode KBLI 10110 (Kegiatan Rumah Potong Dan Pengepakan Daging Bukan Unggas) mencakup secara spesifik 'kegiatan operasional rumah potong hewan yang berkaitan dengan kegiatan pemotongan, pengulitan, pembersihan dan pengepakan daging, seperti daging sapi'. Deskripsi pekerjaan ini sangat sesuai dengan cakupan KBLI 10110 karena menyebutkan 'jagal sapi' dan 'potong sapi', yang merupakan inti dari kegiatan rumah potong hewan.",[],,"{'model': 'gemini-2.5-flash-lite', 'temperature': 0.7, 'attempt': 1, 'response_time': 0.9545426368713379, 'timestamp': '2025-07-30T11:06:15.628090', 'usage': {'prompt_tokens': 1501, 'completion_tokens': 208, 'total_tokens': 1709}}",mini_test_with_ids_gemini-2_5-flash-lite.jsonl,56,"(49.772, 95.6]"
edeb5038-7a66-490b-290c-caecba670930,bagian produksi membersihkan jeroan ayam menghasilkan pemotongan ayam di bidang pabrik ayam potong,10120,1,gemini-2.5-flash-lite,2025-07-30 11:06:16.881051,True,1.0,"Analisis ini didasarkan pada Aturan Validasi Inti #1, #3, dan logika klasifikasi KBLI secara umum. Deskripsi pekerjaan ""bagian produksi membersihkan jeroan ayam menghasilkan pemotongan ayam di bidang pabrik ayam potong"" secara jelas menggambarkan aktivitas operasional yang berkaitan langsung dengan proses pemotongan dan penanganan hasil dari unggas. Kode KBLI 10120 mencakup ""Kegiatan Rumah Potong Dan Pengepakan Daging Unggas"", yang sangat sesuai dengan deskripsi tersebut. Kegiatan seperti ""membersihkan jeroan ayam"" dan ""pemotongan ayam"" adalah bagian integral dari operasional rumah potong unggas. Hierarki KBLI menempatkan ini di bawah Industri Makanan (Divisi 10), Kelas 1012 (Kegiatan Rumah Potong dan Pengepakan Daging Unggas), yang persis mencerminkan aktivitas yang dijelaskan dalam deskripsi pekerjaan.",[],,"{'model': 'gemini-2.5-flash-lite', 'temperature': 0.7, 'attempt': 1, 'response_time': 1.2493977546691895, 'timestamp': '2025-07-30T11:06:16.880892', 'usage': {'prompt_tokens': 1433, 'completion_tokens': 252, 'total_tokens': 1685}}",mini_test_with_ids_gemini-2_5-flash-lite.jsonl,98,"(95.6, 141.2]"
edeb5038-7a66-490b-290c-caecba670930,bagian produksi membersihkan jeroan ayam menghasilkan pemotongan ayam di bidang pabrik ayam potong,10120,2,gemini-2.5-flash-lite,2025-07-30 11:06:17.982052,True,1.0,"Analisis ini didasarkan pada Aturan Validasi Inti #1 dan #3. Deskripsi pekerjaan 'bagian produksi membersihkan jeroan ayam menghasilkan pemotongan ayam di bidang pabrik ayam potong' secara jelas menggambarkan aktivitas operasional inti dari sebuah pabrik pengolahan daging unggas. Kode KBLI 10120 (Kegiatan Rumah Potong Dan Pengepakan Daging Unggas) mencakup kegiatan operasional rumah potong unggas, termasuk pemotongan dan pengolahan hasil sampingan seperti jeroan. Deskripsi pekerjaan tersebut sangat sesuai dengan cakupan KBLI 10120, yang secara spesifik menyebutkan 'Kegiatan Rumah Potong Dan Pengepakan Daging Unggas'. Frasa 'menghasilkan pemotongan ayam' dan 'membersihkan jeroan ayam' secara langsung merujuk pada aktivitas yang tercakup dalam kode ini.",[],,"{'model': 'gemini-2.5-flash-lite', 'temperature': 0.7, 'attempt': 1, 'response_time': 1.0964891910552979, 'timestamp': '2025-07-30T11:06:17.981913', 'usage': {'prompt_tokens': 1433, 'completion_tokens': 243, 'total_tokens': 1676}}",mini_test_with_ids_gemini-2_5-flash-lite.jsonl,98,"(95.6, 141.2]"
edeb5038-7a66-490b-290c-caecba670930,bagian produksi membersihkan jeroan ayam menghasilkan pemotongan ayam di bidang pabrik ayam potong,10120,3,gemini-2.5-flash-lite,2025-07-30 11:06:19.069553,True,1.0,"Analisis ini didasarkan pada Aturan Validasi Inti #1 dan #3. Deskripsi pekerjaan ""bagian produksi membersihkan jeroan ayam menghasilkan pemotongan ayam di bidang pabrik ayam potong"" secara langsung menggambarkan aktivitas inti yang dilakukan di sebuah rumah potong ayam. KBLI 10120, ""Kegiatan Rumah Potong Dan Pengepakan Daging Unggas"", secara spesifik mencakup ""kegiatan operasional rumah potong unggas dan pengepakan daging unggas, termasuk kegiatan pengurusan hasil sampingan, seperti pemrosesan sisa atau kotoran unggas"". Deskripsi pekerjaan ini sangat sesuai dengan cakupan KBLI 10120 karena menyebutkan ""pemotongan ayam"" dan ""membersihkan jeroan ayam"", yang merupakan bagian integral dari operasional rumah potong unggas. Tidak ada indikasi aktivitas sekunder atau peran pendukung yang disalahartikan.",[],,"{'model': 'gemini-2.5-flash-lite', 'temperature': 0.7, 'attempt': 1, 'response_time': 1.0831968784332275, 'timestamp': '2025-07-30T11:06:19.069339', 'usage': {'prompt_tokens': 1433, 'completion_tokens': 248, 'total_tokens': 1681}}",mini_test_with_ids_gemini-2_5-flash-lite.jsonl,98,"(95.6, 141.2]"
085ce023-fc2e-4a1f-8ea7-94d85c801cf7,menyembelih dan membersihkan ayam menghasilkan ayam di bidang jasa penyembelihan ayam,10120,1,gemini-2.5-flash-lite,2025-07-30 11:06:20.081745,True,1.0,Analisis ini didasarkan pada Aturan Validasi Inti #1 dan #3. Deskripsi pekerjaan 'menyembelih dan membersihkan ayam menghasilkan ayam di bidang jasa penyembelihan ayam' secara langsung menjelaskan aktivitas utama dari sebuah rumah potong unggas. Kode KBLI `10120` mencakup 'Kegiatan Rumah Potong Dan Pengepakan Daging Unggas'. Deskripsi KBLI ini secara eksplisit menyebutkan 'kegiatan operasional rumah potong unggas' dan 'pemotongan'. Frasa 'jasa penyembelihan ayam' dalam deskripsi pekerjaan sangat sesuai dengan deskripsi KBLI `10120`. Tidak ada indikasi aktivitas pendukung atau aktivitas utama lain yang bertentangan dengan klasifikasi ini.,[],,"{'model': 'gemini-2.5-flash-lite', 'temperature': 0.7, 'attempt': 1, 'response_time': 1.008068323135376, 'timestamp': '2025-07-30T11:06:20.081268', 'usage': {'prompt_tokens': 1430, 'completion_tokens': 215, 'total_tokens': 1645}}",mini_test_with_ids_gemini-2_5-flash-lite.jsonl,85,"(49.772, 95.6]"
085ce023-fc2e-4a1f-8ea7-94d85c801cf7,menyembelih dan membersihkan ayam menghasilkan ayam di bidang jasa penyembelihan ayam,10120,2,gemini-2.5-flash-lite,2025-07-30 11:06:21.105932,True,1.0,Analisis ini didasarkan pada Aturan Validasi Inti #1 dan #3. Deskripsi pekerjaan 'menyembelih dan membersihkan ayam menghasilkan ayam di bidang jasa penyembelihan ayam' secara langsung menggambarkan aktivitas utama dari sebuah rumah potong unggas. Kode KBLI 10120 (Kegiatan Rumah Potong Dan Pengepakan Daging Unggas) mencakup secara spesifik 'kegiatan operasional rumah potong unggas dan pengepakan daging unggas'. Deskripsi pekerjaan ini sangat sesuai dengan deskripsi KBLI tersebut. Tidak ada indikasi aktivitas pendukung atau aktivitas utama lain yang lebih dominan.,[],,"{'model': 'gemini-2.5-flash-lite', 'temperature': 0.7, 'attempt': 1, 'response_time': 1.0186662673950195, 'timestamp': '2025-07-30T11:06:21.105779', 'usage': {'prompt_tokens': 1430, 'completion_tokens': 187, 'total_tokens': 1617}}",mini_test_with_ids_gemini-2_5-flash-lite.jsonl,85,"(49.772, 95.6]"
085ce023-fc2e-4a1f-8ea7-94d85c801cf7,menyembelih dan membersihkan ayam menghasilkan ayam di bidang jasa penyembelihan ayam,10120,3,gemini-2.5-flash-lite,2025-07-30 11:06:22.231055,True,1.0,"Analisis ini didasarkan pada Aturan Validasi Inti #1 dan #3. Deskripsi pekerjaan 'menyembelih dan membersihkan ayam menghasilkan ayam di bidang jasa penyembelihan ayam' secara langsung menggambarkan aktivitas utama dari sebuah rumah potong unggas. KBLI 10120 (Kegiatan Rumah Potong dan Pengepakan Daging Unggas) secara spesifik mencakup 'kegiatan operasional rumah potong unggas'. Deskripsi pekerjaan ini tidak menyebutkan peran pendukung, melainkan aktivitas inti yang sejalan dengan definisi KBLI yang diberikan. KBLI ini juga mencakup 'pengurusan hasil sampingan', yang dapat diinterpretasikan sebagai bagian dari proses penyembelihan dan pembersihan unggas.",[],,"{'model': 'gemini-2.5-flash-lite', 'temperature': 0.7, 'attempt': 1, 'response_time': 1.1226491928100586, 'timestamp': '2025-07-30T11:06:22.230806', 'usage': {'prompt_tokens': 1430, 'completion_tokens': 208, 'total_tokens': 1638}}",mini_test_with_ids_gemini-2_5-flash-lite.jsonl,85,"(49.772, 95.6]"
f9588c15-99df-4dc1-9d32-578f315dc10d,menggiling daging pembuatan sosis di pabrik pbs menghasilkan sosis di bidang industri pengolahan pabrik sosis pbs,10130,1,gemini-2.5-flash-lite,2025-07-30 11:06:23.292618,True,1.0,"Analisis ini didasarkan pada Aturan Validasi Inti #1 dan #3. Deskripsi pekerjaan secara eksplisit menyebutkan ""menggiling daging pembuatan sosis di pabrik pbs menghasilkan sosis di bidang industri pengolahan pabrik sosis pbs"". Ini secara langsung mencerminkan aktivitas utama pabrik tersebut, yaitu pengolahan daging untuk pembuatan produk daging seperti sosis. Kode KBLI 10130 (Industri Pengolahan dan Pengawetan Produk Daging dan Daging Unggas) secara spesifik mencakup kegiatan ""produksi produk-produk daging, seperti sosis, salami, puding, 'andovillettes', saveloy, bologna, patc, rillet, dan daging ham"". Deskripsi pekerjaan sangat sesuai dengan cakupan KBLI 10130, yang berkaitan dengan pengolahan daging menjadi produk jadi seperti sosis.",[],,"{'model': 'gemini-2.5-flash-lite', 'temperature': 0.7, 'attempt': 1, 'response_time': 1.0578901767730713, 'timestamp': '2025-07-30T11:06:23.292469', 'usage': {'prompt_tokens': 1520, 'completion_tokens': 240, 'total_tokens': 1760}}",mini_test_with_ids_gemini-2_5-flash-lite.jsonl,113,"(95.6, 141.2]"
